flight_name,gate_name,status_name,departure_airport_name,departure_city,departure_country,departure_address,departure_time,arrival_airport_name,arrival_city,arrival_country,arrival_address,arrival_time,airline_name
FL162,G4,Canceled,HKG,Hong Kong,Hong Kong,Chek Lap Kok,1/11/2023 8:00,PEK,Beijing,China,Shunyi District,1/11/2023 10:00,Cathay Pacific
FL163,G5,On Time,PEK,Beijing,China,Shunyi District,1/11/2023 11:00,HKG,Hong Kong,Hong Kong,Chek Lap Kok,1/11/2023 13:00,Air China
FL164,G6,On Time,DXB,Dubai,UAE,Dubai International Airport,1/11/2023 14:00,CDG,Paris,France,95700 Roissy-en-France,1/11/2023 19:00,Emirates
FL165,G7,Delayed,CDG,Paris,France,95700 Roissy-en-France,1/11/2023 20:00,DXB,Dubai,UAE,Dubai International Airport,1/11/2023 23:00,Air France
FL166,G8,On Time,JFK,New York,USA,Queens,1/12/2023 6:00,FCO,Rome,Italy,Fiumicino Airport,1/12/2023 12:00,Delta
FL167,G9,On Time,FCO,Rome,Italy,Fiumicino Airport,1/12/2023 13:00,JFK,New York,USA,Queens,1/12/2023 19:00,Alitalia
FL168,G1,Delayed,SIN,Singapore,Singapore,Airport Blvd,1/12/2023 20:00,ICN,Seoul,South Korea,Jung-gu,1/12/2023 22:00,Singapore Airlines
FL169,G2,On Time,ICN,Seoul,South Korea,Jung-gu,1/12/2023 23:00,SIN,Singapore,Singapore,Airport Blvd,1/13/2023 1:00,Korean Air
FL170,G3,Canceled,LHR,London,UK,Longford,1/13/2023 2:00,HND,Tokyo,Japan,3-3-2 Haneda Airport,1/13/2023 6:00,British Airways
FL171,G4,On Time,HND,Tokyo,Japan,3-3-2 Haneda Airport,1/13/2023 7:00,LHR,London,UK,Longford,1/13/2023 11:00,All Nippon Airways
FL172,G5,On Time,JFK,New York,USA,Queens,1/14/2023 8:00,SFO,San Francisco,USA,San Francisco International Airport,1/14/2023 12:00,United Airlines
FL173,G6,Delayed,SFO,San Francisco,USA,San Francisco International Airport,1/14/2023 13:00,JFK,New York,USA,Queens,1/14/2023 17:00,American Airlines
FL174,G7,Canceled,ATL,Atlanta,USA,Hartsfield-Jackson,1/15/2023 9:00,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/15/2023 12:00,Delta
FL175,G8,On Time,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/15/2023 13:00,ATL,Atlanta,USA,Hartsfield-Jackson,1/15/2023 16:00,Alaska Airlines
FL176,G9,On Time,ORD,Chicago,USA,O'Hare,1/16/2023 10:00,MIA,Miami,USA,Miami International Airport,1/16/2023 14:00,United Airlines
FL177,G1,Delayed,MIA,Miami,USA,Miami International Airport,1/16/2023 15:00,ORD,Chicago,USA,O'Hare,1/16/2023 19:00,American Airlines
FL178,G2,On Time,LAX,Los Angeles,USA,1 World Way,1/17/2023 16:00,DFW,Dallas,USA,Dallas/Fort Worth International Airport,1/17/2023 20:00,Delta
FL179,G3,Delayed,DFW,Dallas,USA,Dallas/Fort Worth International Airport,1/17/2023 21:00,LAX,Los Angeles,USA,1 World Way,1/18/2023 1:00,American Airlines
FL180,G4,Canceled,ORD,Chicago,USA,O'Hare,1/18/2023 9:00,LAX,Los Angeles,USA,1 World Way,1/18/2023 12:00,United Airlines
FL181,G5,On Time,LAX,Los Angeles,USA,1 World Way,1/18/2023 13:00,ORD,Chicago,USA,O'Hare,1/18/2023 16:00,American Airlines
FL182,G6,Delayed,SFO,San Francisco,USA,San Francisco International Airport,1/19/2023 8:00,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/19/2023 10:00,Alaska Airlines
FL183,G7,On Time,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/19/2023 11:00,SFO,San Francisco,USA,San Francisco International Airport,1/19/2023 13:00,Delta
FL184,G8,Delayed,ATL,Atlanta,USA,Hartsfield-Jackson,1/20/2023 10:00,LAX,Los Angeles,USA,1 World Way,1/20/2023 14:00,Delta
FL185,G9,Canceled,LAX,Los Angeles,USA,1 World Way,1/20/2023 15:00,ATL,Atlanta,USA,Hartsfield-Jackson,1/20/2023 19:00,American Airlines
FL186,G1,On Time,ORD,Chicago,USA,O'Hare,1/21/2023 8:00,DFW,Dallas,USA,Dallas/Fort Worth International Airport,1/21/2023 11:00,United Airlines
FL187,G2,Delayed,DFW,Dallas,USA,Dallas/Fort Worth International Airport,1/21/2023 12:00,ORD,Chicago,USA,O'Hare,1/21/2023 15:00,American Airlines
FL188,G3,On Time,MIA,Miami,USA,Miami International Airport,1/22/2023 9:00,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/22/2023 13:00,Delta
FL189,G4,Delayed,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/22/2023 14:00,MIA,Miami,USA,Miami International Airport,1/22/2023 18:00,Alaska Airlines
FL190,G5,Canceled,SFO,San Francisco,USA,San Francisco International Airport,1/23/2023 8:00,LAX,Los Angeles,USA,1 World Way,1/23/2023 10:00,United Airlines
FL191,G6,On Time,LAX,Los Angeles,USA,1 World Way,1/23/2023 11:00,SFO,San Francisco,USA,San Francisco International Airport,1/23/2023 13:00,American Airlines
FL192,G7,Delayed,ORD,Chicago,USA,O'Hare,1/24/2023 9:00,ATL,Atlanta,USA,Hartsfield-Jackson,1/24/2023 12:00,Delta
FL193,G8,On Time,ATL,Atlanta,USA,Hartsfield-Jackson,1/24/2023 13:00,ORD,Chicago,USA,O'Hare,1/24/2023 16:00,Alaska Airlines
FL194,G9,Delayed,SFO,San Francisco,USA,San Francisco International Airport,1/25/2023 8:00,JFK,New York,USA,Queens,1/25/2023 14:00,Delta
FL195,G1,Canceled,JFK,New York,USA,Queens,1/25/2023 15:00,SFO,San Francisco,USA,San Francisco International Airport,1/25/2023 21:00,United Airlines
FL196,G2,On Time,ORD,Chicago,USA,O'Hare,1/26/2023 9:00,DFW,Dallas,USA,Dallas/Fort Worth International Airport,1/26/2023 12:00,American Airlines
FL197,G3,Delayed,DFW,Dallas,USA,Dallas/Fort Worth International Airport,1/26/2023 13:00,ORD,Chicago,USA,O'Hare,1/26/2023 16:00,Delta
FL198,G4,On Time,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/27/2023 8:00,MIA,Miami,USA,Miami International Airport,1/27/2023 12:00,Alaska Airlines
FL199,G5,Canceled,MIA,Miami,USA,Miami International Airport,1/27/2023 13:00,SEA,Seattle,USA,Seattle-Tacoma International Airport,1/27/2023 17:00,American Airlines
FL200,G6,Delayed,LAX,Los Angeles,USA,1 World Way,1/28/2023 9:00,ATL,Atlanta,USA,Hartsfield-Jackson,1/28/2023 13:00,Delta
FL201,G1,On Time,JFK,New York,USA,Queens,1/29/2023 8:00,LAS,Las Vegas,USA,McCarran International Airport,1/29/2023 11:00,American Airlines
FL202,G2,Delayed,LAS,Las Vegas,USA,McCarran International Airport,1/29/2023 12:00,JFK,New York,USA,Queens,1/29/2023 15:00,Delta
FL203,G3,Canceled,SFO,San Francisco,USA,San Francisco International Airport,1/30/2023 9:00,BOS,Boston,USA,Logan International Airport,1/30/2023 17:00,United Airlines
FL204,G4,On Time,BOS,Boston,USA,Logan International Airport,1/30/2023 18:00,SFO,San Francisco,USA,San Francisco International Airport,1/31/2023 2:00,Alaska Airlines
FL205,G5,Delayed,LAX,Los Angeles,USA,1 World Way,1/31/2023 8:00,PHX,Phoenix,USA,Phoenix Sky Harbor,1/31/2023 10:00,American Airlines
FL206,G6,On Time,PHX,Phoenix,USA,Phoenix Sky Harbor,1/31/2023 11:00,LAX,Los Angeles,USA,1 World Way,1/31/2023 13:00,Delta
FL207,G7,Canceled,ORD,Chicago,USA,O'Hare,2/1/2023 9:00,IAH,Houston,USA,George Bush Intercontinental Airport,2/1/2023 12:00,United Airlines
FL208,G8,On Time,IAH,Houston,USA,George Bush Intercontinental Airport,2/1/2023 13:00,ORD,Chicago,USA,O'Hare,2/1/2023 16:00,Alaska Airlines
FL209,G9,Delayed,SFO,San Francisco,USA,San Francisco International Airport,2/2/2023 8:00,DFW,Dallas,USA,Dallas/Fort Worth International Airport,2/2/2023 14:00,Delta
FL210,G1,Canceled,DFW,Dallas,USA,Dallas/Fort Worth International Airport,2/2/2023 15:00,SFO,San Francisco,USA,San Francisco International Airport,2/2/2023 21:00,United Airlines
FL211,G2,On Time,SEA,Seattle,USA,Seattle-Tacoma International Airport,2/3/2023 9:00,DEN,Denver,USA,Denver International Airport,2/3/2023 12:00,American Airlines
FL212,G3,Delayed,DEN,Denver,USA,Denver International Airport,2/3/2023 13:00,SEA,Seattle,USA,Seattle-Tacoma International Airport,2/3/2023 16:00,Delta
FL213,G4,On Time,LAX,Los Angeles,USA,1 World Way,2/4/2023 8:00,MCO,Orlando,USA,Orlando International Airport,2/4/2023 14:00,Alaska Airlines
FL214,G5,Canceled,MCO,Orlando,USA,Orlando International Airport,2/4/2023 15:00,LAX,Los Angeles,USA,1 World Way,2/4/2023 21:00,American Airlines
FL215,G6,On Time,JFK,New York,USA,Queens,2/5/2023 9:00,MIA,Miami,USA,Miami International Airport,2/5/2023 12:00,Delta
FL216,G7,Delayed,MIA,Miami,USA,Miami International Airport,2/5/2023 13:00,JFK,New York,USA,Queens,2/5/2023 16:00,United Airlines
FL217,G8,On Time,SFO,San Francisco,USA,San Francisco International Airport,2/6/2023 8:00,ATL,Atlanta,USA,Hartsfield-Jackson,2/6/2023 15:00,American Airlines
FL218,G9,Delayed,ATL,Atlanta,USA,Hartsfield-Jackson,2/6/2023 16:00,SFO,San Francisco,USA,San Francisco International Airport,2/6/2023 23:00,Delta
FL219,G1,Canceled,LAX,Los Angeles,USA,1 World Way,2/7/2023 9:00,BOS,Boston,USA,Logan International Airport,2/7/2023 17:00,United Airlines
FL220,G2,On Time,BOS,Boston,USA,Logan International Airport,2/7/2023 18:00,LAX,Los Angeles,USA,1 World Way,2/7/2023 23:00,Alaska Airlines
FL221,G3,Delayed,ORD,Chicago,USA,O'Hare,2/8/2023 8:00,DFW,Dallas,USA,Dallas/Fort Worth International Airport,2/8/2023 14:00,Delta
FL222,G4,Canceled,DFW,Dallas,USA,Dallas/Fort Worth International Airport,2/8/2023 15:00,ORD,Chicago,USA,O'Hare,2/8/2023 21:00,United Airlines
